更新时间,#genre#
20260911 04:05,url

RespoTime,whitelist,#genre#
17.58ms,BBC News,ttps://jmp2.uk/stvp-US4000033L
23.68ms,WXTV-DT1,https://streaming-live-fcdn.api.prd.univisionnow.com/wxtv/wxtv.isml/hls/wxtv.m3u8
24.87ms,CBS News 24/7 (360p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_21.m3u8
25.92ms,KUVN-DT1,https://streaming-live-fcdn.api.prd.univisionnow.com/kuvn/kuvn.isml/hls/kuvn.m3u8
27.89ms,KMEX-DT1 [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/kmex/kmex.isml/hls/kmex.m3u8
33.27ms,NBC News NOW (240p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_6.m3u8
33.39ms,Rai Italia,https://d3k8wzt41aflvx.cloudfront.net/RAIHD/Live.m3u8
33.39ms,Rai World Premium,https://d3k8wzt41aflvx.cloudfront.net/RAIP/Live.m3u8
33.42ms,Al Hadath العربية,https://live.alarabiya.net/alarabiapublish/alhadath.smil/alarabiapublish/alhadath_1080p/chunks.m3u8
34.52ms,Rai Scuola,https://d3k8wzt41aflvx.cloudfront.net/RAIScuola/Live.m3u8
35.26ms,TeleRadioStereo Ⓣ,https://www.twitch.tv/teleradiostereo
35.30ms,Rai 2,https://d3k8wzt41aflvx.cloudfront.net/RAI2/Live.m3u8
35.33ms,Pursuit Channel,https://a-cdn.klowdtv.com/live3/pursuit_720p/playlist.m3u8
35.54ms,NBC News NOW (1080p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_5.m3u8
35.70ms,Rai Storia,https://d3k8wzt41aflvx.cloudfront.net/RAIStoria/Live.m3u8
35.72ms,NBC News NOW (360p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_2.m3u8
35.76ms,Mediaset Italia,https://d3k8wzt41aflvx.cloudfront.net/Mediaset_AU/Live.m3u8
36.25ms,Rai Premium,https://d3k8wzt41aflvx.cloudfront.net/RaiPremium/Live.m3u8
38.48ms,NDTV Profit,https://ndtvprofit.akamaized.net/hls/live/2107404/ndtvprofit/master_1.m3u8
38.69ms,NBC News NOW (720p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_4.m3u8
39.10ms,Teleroma 56 Ⓣ,https://www.twitch.tv/teleroma_56
39.34ms,Rai 3,https://d3k8wzt41aflvx.cloudfront.net/RAI3/Live.m3u8
39.41ms,Colors MENA,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:colorsme.smil/playlist.m3u8
40.55ms,Top News Ⓣ,https://www.twitch.tv/topnewsal
40.56ms,Gordon Ramsay (720p),https://aegis-cloudfront-1.tubi.video/c8364f36-c60b-4a39-8d86-0b92db4611c0/index.m3u8
40.75ms,ABC 7 Albuquerque NM (KOAT),https://aegis-cloudfront-1.tubi.video/2dba5dd9-4097-45e3-b169-56735cc48476/playlist.m3u8
41.58ms,QVC UK Ⓢ,https://qvcuk-live.akamaized.net/hls/live/2097112/qvc/3/3.m3u8
42.55ms,Canale Uno Tivù Ⓣ,https://www.twitch.tv/canaleunotivu
